temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,generated_power_kw
2.17,31,1035.0,0.0,0.0,0.0,0,0,0,0.0,6.37,312.71,9.36,22.62,6.62,337.62,24.48,58.753108,83.237322,128.33543,454.10095
2.31,27,1035.1,0.0,0.0,0.0,0,0,0,1.78,5.15,294.78,5.99,32.74,4.61,321.34,21.96,45.408585,75.143041,139.6553,1411.9994
3.65,33,1035.4,0.0,0.0,0.0,0,0,0,108.58,4.68,270.0,3.89,56.31,3.76,286.7,14.04,32.848282,68.820648,152.53769,2214.8493
5.82,30,1035.4,0.0,0.0,0.0,0,0,0,258.1,3.6,323.13,3.55,23.96,3.08,339.44,19.8,22.699288,64.883536,166.90159,2527.6092
7.73,27,1034.4,0.0,0.0,0.0,0,0,0,375.58,6.21,10.01,6.76,25.2,6.62,22.38,16.56,19.199908,63.795208,182.13526,2640.2034
8.69,29,1034.6,0.0,0.0,0.0,0,0,0,449.45,6.29,23.63,7.1,30.47,6.92,27.9,17.28,25.088167,65.70086,197.22062,2546.0816
9.72,27,1034.0,0.0,0.0,0.0,0,0,0,469.92,5.96,25.02,6.61,29.36,6.44,26.57,12.96,36.197514,70.351498,211.21422,2270.3207
10.07,28,1034.1,0.0,0.0,0.0,0,0,0,436.99,7.07,14.74,7.63,19.29,7.52,16.7,10.8,49.073008,77.228779,223.65641,1063.8302
9.38,32,1033.9,0.0,0.0,0.0,0,0,0,353.33,9.42,6.58,10.5,5.91,10.14,6.12,11.52,62.37114,85.585411,234.50308,86.817611
13.77,30,1036.6,0.0,0.0,5.1,17,0,0,441.44,5.51,348.69,6.16,353.29,6.16,353.29,6.12,24.813234,65.474867,197.04081,2462.3889
14.43,30,1036.6,0.0,0.0,2.1,7,0,0,461.02,7.59,354.56,8.28,360.0,8.28,360.0,7.92,35.926593,70.097733,211.09034,2202.6894
14.58,30,1036.4,0.0,0.0,5.1,17,0,0,430.76,9.01,357.71,10.08,360.0,10.08,360.0,10.08,48.820772,76.959788,223.58144,1046.8986
14.04,32,1036.6,0.0,0.0,2.4,8,0,0,352.44,9.37,357.8,10.44,360.0,10.44,360.0,11.16,62.14581,85.32007,234.4662,88.940216
8.47,40,1037.1,0.0,0.0,0.0,0,0,0,250.09,1.8,233.13,5.15,65.22,4.35,65.56,5.4,22.656758,64.669873,166.49739,2436.7275
11.34,33,1035.3,0.0,0.0,0.0,0,0,0,366.68,2.9,29.74,4.07,45.0,4.07,45.0,7.2,18.896941,63.506526,181.78886,2534.3489
12.25,29,1034.3,0.0,0.0,0.0,0,0,0,435.21,7.79,33.69,8.44,39.81,8.44,39.81,9.0,24.669091,65.351595,196.95568,2477.8934
12.6,30,1033.5,0.0,0.0,0.0,0,0,0,455.68,9.51,29.48,10.19,32.01,10.19,32.01,9.0,35.787961,69.961609,211.03516,2206.8945
12.66,31,1033.5,0.0,0.0,0.0,0,0,0,425.42,6.7,36.25,7.15,40.91,7.15,40.91,6.84,48.693732,76.817213,223.55205,1040.8729
12.4,33,1032.7,0.0,0.0,0.0,0,0,0,345.32,7.59,31.43,8.29,34.38,8.29,34.38,6.48,62.033585,85.180199,234.45672,93.423875
1.92,73,1034.2,0.0,0.0,0.0,0,0,0,0.0,15.48,178.67,31.7,178.05,21.25,178.06,22.32,59.11072,83.218833,127.75963,425.30454
1.51,80,1035.2,0.0,0.0,0.0,0,0,0,1.78,15.86,177.4,32.47,176.19,22.73,176.37,21.96,45.676492,75.034084,139.09168,1355.1012
4.38,76,1034.8,0.0,0.0,0.0,0,0,0,106.8,15.5,177.34,29.63,175.12,20.21,175.91,15.84,33.017211,68.62586,151.96007,2122.2185
7.8,67,1032.8,0.0,0.0,0.0,0,0,0,255.43,16.24,176.19,20.91,177.04,18.03,176.57,10.44,22.630859,64.583818,166.3621,2430.8578
10.07,58,1031.7,0.0,0.0,0.0,0,0,0,372.91,14.47,174.29,17.02,173.93,15.23,173.21,9.0,18.782814,63.395723,181.67644,2549.7753
12.65,38,1028.0,0.0,0.0,0.0,0,0,0,440.55,4.69,147.53,5.4,143.13,5.4,143.13,3.96,24.520556,65.22152,196.87383,2505.5434
13.28,39,1027.2,0.0,0.0,0.0,0,0,0,462.8,4.83,116.57,5.8,119.74,5.5,121.61,6.12,35.647353,69.819392,210.98459,2236.1667
13.36,42,1027.2,0.0,0.0,0.0,0,0,0,431.65,5.35,109.65,6.92,117.9,6.44,116.57,7.92,48.566224,76.669341,223.52814,1079.7043
12.68,49,1027.5,0.0,0.0,0.0,0,0,0,350.66,5.69,124.7,7.15,130.91,6.64,130.6,9.36,61.921788,85.035625,234.45328,97.017519
0.62,45,1031.7,0.0,0.0,0.0,0,0,0,0.0,7.7,217.41,5.24,285.95,9.45,220.36,6.12,59.194427,83.19827,127.6062,445.47816
8.86,41,1026.8,0.0,0.0,0.0,0,0,0,447.67,10.08,360.0,10.46,3.95,9.78,6.34,11.88,24.367718,65.0847,196.79534,2577.2011
9.23,42,1027.1,0.0,0.0,0.0,0,0,0,469.03,10.5,5.91,10.54,7.85,10.24,10.12,12.6,35.504891,69.671158,210.93869,2283.7003
9.21,44,1027.0,0.0,0.0,0.0,0,0,0,436.99,10.95,9.46,11.01,11.31,10.31,12.09,12.6,48.438368,76.516256,223.50976,1086.2028
8.64,48,1027.0,0.0,0.0,0.0,0,0,0,356.0,9.53,10.89,9.61,12.99,9.26,13.5,11.52,61.810516,84.886424,234.45592,103.20437
